date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2025-08-13,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,1,2700,Delivered,ORD-AUG-0001,Mr.Ilham,276,5,0.95,1.67,0.94,3.46,11.81,0,165.27
2025-08-16,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,3,2300,Shipped,ORD-AUG-0002,Nazlin,273,5,0.95,1.67,0.94,3.46,11.81,0,163.47
2025-08-22,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,1,2200,Pending,ORD-AUG-0003,Hakeem,272,5,0.95,1.67,0.94,3.46,11.81,0,162.87
2025-08-03,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,5,4400,Shipped,ORD-AUG-0004,Nazlin,330,4,0.95,5.43,2.87,9.44,31.16,0,60.77
2025-08-06,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,1,4900,Packed,ORD-AUG-0005,Mr.Ilham,329,4,0.95,5.43,2.87,9.44,31.16,0,60.59
2025-08-09,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,10,4600,Pending,ORD-AUG-0006,Murshid,319,4,0.95,5.43,2.87,9.44,31.16,0,58.75
2025-08-11,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,2,4300,Packed,ORD-AUG-0007,Hakeem,26,4,0.95,5.43,2.87,9.44,31.16,1,4.79
2025-08-13,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4100,Delivered,ORD-AUG-0893,Nazlin,326,4,0.95,5.43,2.87,9.44,31.16,0,60.04
2025-08-14,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,6,4700,Pending,ORD-AUG-0008,Mr.Ilham,311,4,0.95,5.43,2.87,9.44,31.16,0,57.27
2025-08-17,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4700,Packed,ORD-AUG-0009,Nazlin,304,4,0.95,5.43,2.87,9.44,31.16,0,55.99
2025-08-02,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,3,6800,Packed,ORD-AUG-0010,Murshid,369,7,0.95,5.83,2.48,10.79,51.6,0,63.29
2025-08-10,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,10,7800,Shipped,ORD-AUG-0011,Mr.Ilham,359,7,0.95,5.83,2.48,10.79,51.6,0,61.58
