date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2025-12-06,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,3,2600,Delivered,ORD-DEC-0001,Mr.Ilham,9,5,0.95,5.0,1.91,7.03,32.03,1,1.8
2025-12-11,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,7,3100,Shipped,ORD-DEC-0002,Hakeem,192,5,0.95,5.0,1.91,7.03,32.03,0,38.4
2025-12-12,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,8,2800,Shipped,ORD-DEC-0003,Nazlin,184,5,0.95,5.0,1.91,7.03,32.03,0,36.8
2025-12-17,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,3,2700,Packed,ORD-DEC-0004,Hakeem,181,5,0.95,5.0,1.91,7.03,32.03,0,36.2
2025-12-20,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,5,2700,Shipped,ORD-DEC-0005,Murshid,176,5,0.95,5.0,1.91,7.03,32.03,0,35.2
2025-12-25,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,4,2900,Cancelled,ORD-DEC-0006,Murshid,172,5,0.95,5.0,1.91,7.03,32.03,0,34.4
2025-12-14,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4700,Shipped,ORD-DEC-0007,Nazlin,137,4,0.95,6.2,2.93,9.64,34.44,0,22.1
2025-12-15,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,6,4100,Packed,ORD-DEC-0008,Nazlin,131,4,0.95,6.2,2.93,9.64,34.44,0,21.13
2025-12-22,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4700,Delivered,ORD-DEC-0009,Nazlin,13,4,0.95,6.2,2.93,9.64,34.44,1,2.1
2025-12-24,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,1,4300,Packed,ORD-DEC-0010,Mr.Ilham,123,4,0.95,6.2,2.93,9.64,34.44,0,19.84
