date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2026-02-01,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,165,7,0.95,14.68,4.2,11.54,114.32,0,11.24
2026-02-01,SKU-E002,USB Cable Type-C 1m,Electronics,0,0,Forecasted,,Forecast_Model,95,5,0.9,24.82,6.1,11.04,135.14,0,3.83
2026-02-01,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,138,10,0.95,11.76,3.8,19.76,137.36,0,11.73
2026-02-01,SKU-E004,HDMI Cable 2m 4K,Electronics,0,0,Forecasted,,Forecast_Model,76,5,0.9,18.34,5.1,8.73,100.43,0,4.14
2026-02-01,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,100,10,0.95,9.32,2.7,14.04,107.24,0,10.73
2026-02-01,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,79,7,0.9,10.67,3.2,11.58,86.27,0,7.4
2026-02-01,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,86,7,0.9,13.63,3.9,14.1,109.51,0,6.31
2026-02-01,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,77,12,0.95,7.89,2.5,14.22,108.9,0,9.76
2026-02-01,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,118,5,0.9,22.07,6.8,12.31,122.66,0,5.35
2026-02-01,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,68,14,0.95,6.37,2.0,10.39,99.57,0,10.67
2026-02-01,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,218,10,0.95,31.59,8.5,44.21,359.98,0,6.9
2026-02-01,SKU-S002,Printer Paper A4,Stationery,0,0,Forecasted,,Forecast_Model,254,7,0.9,45.8,12.3,44.53,363.14,0,5.55
2026-02-01,SKU-S003,Sticky Notes Pack,Stationery,0,0,Forecasted,,Forecast_Model,151,5,0.85,28.68,7.2,10.53,153.93,0,5.26
2026-02-01,SKU-S004,Whiteboard Markers,Stationery,0,0,Forecasted,,Forecast_Model,185,7,0.9,35.11,9.4,33.95,279.72,0,5.27
2026-02-01,SKU-S005,Stapler Heavy Duty,Stationery,0,0,Forecasted,,Forecast_Model,71,5,0.85,14.26,3.6,5.26,76.56,0,4.98
2026-02-01,SKU-S006,Binder Clips,Stationery,0,0,Forecasted,,Forecast_Model,158,5,0.85,42.47,11.2,16.37,228.72,0,3.72
2026-02-01,SKU-S007,Correction Tape,Stationery,0,0,Forecasted,,Forecast_Model,106,5,0.85,24.62,6.5,9.51,132.61,0,4.31
2026-02-01,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,172,7,0.9,37.65,10.1,36.51,300.06,0,4.57
2026-02-01,SKU-S009,Highlighter Set,Stationery,0,0,Forecasted,,Forecast_Model,90,5,0.85,19.62,5.3,7.75,105.85,0,4.59
2026-02-01,SKU-S010,File Folders Letter,Stationery,0,0,Forecasted,,Forecast_Model,137,10,0.9,27.34,7.6,27.48,300.88,0,5.01
2026-02-01,SKU-S011,Index Cards 3x5,Stationery,0,0,Forecasted,,Forecast_Model,104,5,0.85,21.33,5.8,8.48,115.13,0,4.88
2026-02-01,SKU-F001,Desk Lamp LED,Furniture,0,0,Forecasted,,Forecast_Model,86,14,0.95,8.3,2.3,14.15,130.34,0,10.36
2026-02-01,SKU-F002,Office Chair,Furniture,122,47298,Reorder Required,ORD-FEB26-20260201-SKU-F002,Forecast_Model,42,21,0.98,3.06,1.1,4.62,68.88,1,13.73
2026-02-01,SKU-F003,Monitor Stand,Furniture,0,0,Forecasted,,Forecast_Model,64,12,0.95,6.17,1.9,10.76,84.8,0,10.37
2026-02-01,SKU-F004,Desk Organizer,Furniture,0,0,Forecasted,,Forecast_Model,72,10,0.9,7.42,2.1,7.59,81.79,0,9.7
2026-02-01,SKU-F005,Laptop Stand,Furniture,0,0,Forecasted,,Forecast_Model,59,14,0.95,5.33,1.6,9.84,84.46,0,11.07
2026-02-01,SKU-F006,Filing Cabinet,Furniture,58,18850,Reorder Required,ORD-FEB26-20260201-SKU-F006,Forecast_Model,28,21,0.98,2.01,0.8,3.36,45.57,1,13.93
2026-02-01,SKU-F007,Footrest Ergonomic,Furniture,0,0,Forecasted,,Forecast_Model,50,14,0.9,4.66,1.5,7.35,72.59,0,10.73
2026-02-01,SKU-F008,Desk Mat Large,Furniture,0,0,Forecasted,,Forecast_Model,100,10,0.9,10.94,3.4,12.29,121.69,0,9.14
2026-02-01,SKU-O001,Scissors Office,Office Supplies,0,0,Forecasted,,Forecast_Model,79,7,0.85,16.16,4.4,6.43,119.55,0,4.89
2026-02-01,SKU-O002,Tape Dispenser,Office Supplies,0,0,Forecasted,,Forecast_Model,87,7,0.85,18.45,5.0,7.31,136.46,0,4.72
2026-02-01,SKU-O003,Paper Clips Box,Office Supplies,0,0,Forecasted,,Forecast_Model,143,5,0.85,31.63,8.9,13.01,171.16,0,4.52
2026-02-01,SKU-O004,Rubber Bands,Office Supplies,0,0,Forecasted,,Forecast_Model,119,5,0.85,26.24,7.1,10.38,141.58,0,4.54
2026-02-02,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,150,7,0.95,14.89,4.2,11.54,115.76,0,10.07
2026-02-02,SKU-E002,USB Cable Type-C 1m,Electronics,0,0,Forecasted,,Forecast_Model,69,5,0.9,25.48,6.1,11.04,138.44,0,2.71
2026-02-02,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,126,10,0.95,12.08,3.8,19.76,140.56,0,10.43
2026-02-02,SKU-E004,HDMI Cable 2m 4K,Electronics,0,0,Forecasted,,Forecast_Model,57,5,0.9,18.85,5.1,8.73,102.98,0,3.02
2026-02-02,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,90,10,0.95,9.62,2.7,14.04,110.24,0,9.36
2026-02-02,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,68,7,0.9,10.97,3.2,11.58,88.37,0,6.2
2026-02-02,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,72,7,0.9,14.02,3.9,14.1,112.24,0,5.14
2026-02-02,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,69,12,0.95,8.11,2.5,14.22,111.54,0,8.51
2026-02-02,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,96,5,0.9,22.67,6.8,12.31,125.66,0,4.24
2026-02-02,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,61,14,0.95,6.55,2.0,10.39,102.09,0,9.31
2026-02-02,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,186,10,0.95,32.08,8.5,44.21,364.98,0,5.8
2026-02-02,SKU-S002,Printer Paper A4,Stationery,0,0,Forecasted,,Forecast_Model,208,7,0.9,46.31,12.3,44.53,368.7,0,4.49
2026-02-02,SKU-S003,Sticky Notes Pack,Stationery,0,0,Forecasted,,Forecast_Model,122,5,0.85,29.34,7.2,10.53,157.23,0,4.16
2026-02-02,SKU-S004,Whiteboard Markers,Stationery,0,0,Forecasted,,Forecast_Model,149,7,0.9,35.77,9.4,33.95,284.34,0,4.17
2026-02-02,SKU-S005,Stapler Heavy Duty,Stationery,0,0,Forecasted,,Forecast_Model,56,5,0.85,14.73,3.6,5.26,78.91,0,3.8
2026-02-02,SKU-S006,Binder Clips,Stationery,0,0,Forecasted,,Forecast_Model,115,5,0.85,43.44,11.2,16.37,233.57,0,2.65
2026-02-02,SKU-S007,Correction Tape,Stationery,0,0,Forecasted,,Forecast_Model,81,5,0.85,25.23,6.5,9.51,135.66,0,3.21
2026-02-02,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,134,7,0.9,38.65,10.1,36.51,307.06,0,3.47
2026-02-02,SKU-S009,Highlighter Set,Stationery,0,0,Forecasted,,Forecast_Model,70,5,0.85,20.15,5.3,7.75,108.5,0,3.47
2026-02-02,SKU-S010,File Folders Letter,Stationery,0,0,Forecasted,,Forecast_Model,109,10,0.9,27.95,7.6,27.48,307.0,0,3.9
2026-02-02,SKU-S011,Index Cards 3x5,Stationery,0,0,Forecasted,,Forecast_Model,82,5,0.85,21.87,5.8,8.48,118.0,0,3.75
2026-02-02,SKU-F001,Desk Lamp LED,Furniture,0,0,Forecasted,,Forecast_Model,77,14,0.95,8.63,2.3,14.15,135.02,0,8.92
