date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2026-01-04,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,4,2700,Packed,ORD-JAN-0001,Hakeem,247,5,0.95,6.17,2.97,10.92,41.77,0,40.03
2026-01-13,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,6,3100,Pending,ORD-JAN-0002,Mr.Ilham,241,5,0.95,6.17,2.97,10.92,41.77,0,39.06
2026-01-18,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,10,3100,Packed,ORD-JAN-0003,Nazlin,15,5,0.95,6.17,2.97,10.92,41.77,1,2.43
2026-01-19,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,1,3000,Packed,ORD-JAN-0004,Murshid,230,5,0.95,6.17,2.97,10.92,41.77,0,37.28
2026-01-25,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,8,2800,Packed,ORD-JAN-0005,Hakeem,222,5,0.95,6.17,2.97,10.92,41.77,0,35.98
2026-01-30,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,8,2700,Shipped,ORD-JAN-0006,Mr.Ilham,37,5,0.95,6.17,2.97,10.92,41.77,1,6.0
2026-01-04,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,10,4400,Shipped,ORD-JAN-0007,Murshid,166,4,0.95,6.86,2.36,7.76,35.2,0,24.2
2026-01-05,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4600,Shipped,ORD-JAN-0008,Murshid,16,4,0.95,6.86,2.36,7.76,35.2,1,2.33
2026-01-09,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,8,4100,Packed,ORD-JAN-0009,Murshid,151,4,0.95,6.86,2.36,7.76,35.2,0,22.01
2026-01-10,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,3,4000,Packed,ORD-JAN-0010,Murshid,148,4,0.95,6.86,2.36,7.76,35.2,0,21.57
2026-01-22,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,4,4100,Shipped,ORD-JAN-0011,Hakeem,144,4,0.95,6.86,2.36,7.76,35.2,0,20.99
2026-01-22,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4400,Shipped,ORD-JAN-0012,Hakeem,137,4,0.95,6.86,2.36,7.76,35.2,0,19.97
2026-01-30,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,9,4400,Pending,ORD-JAN-0013,Nazlin,128,4,0.95,6.86,2.36,7.76,35.2,0,18.66
2026-01-05,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,10,6800,Packed,ORD-JAN-0014,Nazlin,202,7,0.95,8.17,3.24,14.1,71.29,0,24.72
2026-01-08,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,9,7400,Packed,ORD-JAN-0015,Hakeem,193,7,0.95,8.17,3.24,14.1,71.29,0,23.62
2026-01-15,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,10,6600,Packed,ORD-JAN-0016,Murshid,183,7,0.95,8.17,3.24,14.1,71.29,0,22.4
2026-01-16,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,1,6300,Shipped,ORD-JAN-0017,Nazlin,182,7,0.95,8.17,3.24,14.1,71.29,0,22.28
2026-01-24,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,9,7100,Packed,ORD-JAN-0018,Murshid,173,7,0.95,8.17,3.24,14.1,71.29,0,21.18
2026-01-25,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,10,6600,Shipped,ORD-JAN-0019,Murshid,163,7,0.95,8.17,3.24,14.1,71.29,0,19.95
2026-01-03,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,5,6700,Pending,ORD-JAN-0020,Nazlin,288,6,0.95,3.6,3.07,12.37,33.97,0,80.0
2026-01-11,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,1,6400,Packed,ORD-JAN-0973,Mr.Ilham,290,6,0.95,3.6,3.07,12.37,33.97,0,80.56
2026-01-18,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,9,6900,Packed,ORD-JAN-0021,Mr.Ilham,279,6,0.95,3.6,3.07,12.37,33.97,0,77.5
2026-01-22,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,1,6100,Shipped,ORD-JAN-0022,Murshid,278,6,0.95,3.6,3.07,12.37,33.97,0,77.22
2026-01-24,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,2,6200,Packed,ORD-JAN-0023,Hakeem,276,6,0.95,3.6,3.07,12.37,33.97,0,76.67
2026-01-04,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,6,3200,Shipped,ORD-JAN-0975,Murshid,107,3,0.95,7.4,2.06,5.87,28.07,0,14.46
2026-01-11,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,9,3200,Shipped,ORD-JAN-0024,Nazlin,24,3,0.95,7.4,2.06,5.87,28.07,1,3.24
2026-01-12,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,9,3300,Delivered,ORD-JAN-0025,Hakeem,97,3,0.95,7.4,2.06,5.87,28.07,0,13.11
2026-01-27,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,9,3300,Shipped,ORD-JAN-0026,Murshid,88,3,0.95,7.4,2.06,5.87,28.07,0,11.89
2026-01-31,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,4,3700,Packed,ORD-JAN-0027,Murshid,84,3,0.95,7.4,2.06,5.87,28.07,0,11.35
2026-01-04,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,3,4500,Shipped,ORD-JAN-0028,Mr.Ilham,228,7,0.95,5.86,2.42,10.53,51.55,0,38.91
2026-01-08,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,7,4000,Shipped,ORD-JAN-0029,Hakeem,221,7,0.95,5.86,2.42,10.53,51.55,0,37.71
2026-01-09,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,5,4200,Packed,ORD-JAN-0030,Hakeem,216,7,0.95,5.86,2.42,10.53,51.55,0,36.86
2026-01-13,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,2,4700,Packed,ORD-JAN-0031,Murshid,17,7,0.95,5.86,2.42,10.53,51.55,1,2.9
2026-01-24,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,9,4700,Pending,ORD-JAN-0032,Nazlin,30,7,0.95,5.86,2.42,10.53,51.55,1,5.12
2026-01-25,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,8,4100,Pending,ORD-JAN-0033,Hakeem,197,7,0.95,5.86,2.42,10.53,51.55,0,33.62
2026-01-31,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,7,4300,Packed,ORD-JAN-0034,Hakeem,190,7,0.95,5.86,2.42,10.53,51.55,0,32.42
2026-01-13,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,7,6600,Delivered,ORD-JAN-0035,Mr.Ilham,9,4,0.95,5.4,2.58,8.49,30.09,1,1.67
2026-01-17,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,8,7400,Delivered,ORD-JAN-0036,Murshid,27,4,0.95,5.4,2.58,8.49,30.09,1,5.0
2026-01-17,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,1,6500,Pending,ORD-JAN-0037,Hakeem,178,4,0.95,5.4,2.58,8.49,30.09,0,32.96
2026-01-26,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,7,7100,Delivered,ORD-JAN-0038,Nazlin,19,4,0.95,5.4,2.58,8.49,30.09,1,3.52
2026-01-28,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,4,6400,Pending,ORD-JAN-0039,Hakeem,12,4,0.95,5.4,2.58,8.49,30.09,1,2.22
2026-01-07,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,7,7100,Shipped,ORD-JAN-0040,Hakeem,222,6,0.95,7.67,0.94,3.79,49.81,0,28.94
2026-01-19,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,7,8100,Pending,ORD-JAN-0041,Hakeem,215,6,0.95,7.67,0.94,3.79,49.81,0,28.03
2026-01-24,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,9,8400,Packed,ORD-JAN-0042,Mr.Ilham,206,6,0.95,7.67,0.94,3.79,49.81,0,26.86
