date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2026-03-01,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,165,7,0.95,14.68,4.2,11.54,114.32,0,11.24
2026-03-01,SKU-E002,USB Cable Type-C 1m,Electronics,0,0,Forecasted,,Forecast_Model,95,5,0.9,24.82,6.1,11.04,135.14,0,3.83
2026-03-01,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,138,10,0.95,11.76,3.8,19.76,137.36,0,11.73
2026-03-01,SKU-E004,HDMI Cable 2m 4K,Electronics,0,0,Forecasted,,Forecast_Model,76,5,0.9,18.34,5.1,8.73,100.43,0,4.14
2026-03-01,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,100,10,0.95,9.32,2.7,14.04,107.24,0,10.73
2026-03-01,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,79,7,0.9,10.67,3.2,11.58,86.27,0,7.4
2026-03-01,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,86,7,0.9,13.63,3.9,14.1,109.51,0,6.31
2026-03-01,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,77,12,0.95,7.89,2.5,14.22,108.9,0,9.76
2026-03-01,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,118,5,0.9,22.07,6.8,12.31,122.66,0,5.35
2026-03-01,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,68,14,0.95,6.37,2.0,10.39,99.57,0,10.67
2026-03-01,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,218,10,0.95,31.59,8.5,44.21,359.98,0,6.9
2026-03-01,SKU-S002,Printer Paper A4,Stationery,0,0,Forecasted,,Forecast_Model,254,7,0.9,45.8,12.3,44.53,363.14,0,5.55
2026-03-01,SKU-S003,Sticky Notes Pack,Stationery,0,0,Forecasted,,Forecast_Model,151,5,0.85,28.68,7.2,10.53,153.93,0,5.26
2026-03-01,SKU-S004,Whiteboard Markers,Stationery,0,0,Forecasted,,Forecast_Model,185,7,0.9,35.11,9.4,33.95,279.72,0,5.27
2026-03-01,SKU-S005,Stapler Heavy Duty,Stationery,0,0,Forecasted,,Forecast_Model,71,5,0.85,14.26,3.6,5.26,76.56,0,4.98
2026-03-01,SKU-S006,Binder Clips,Stationery,0,0,Forecasted,,Forecast_Model,158,5,0.85,42.47,11.2,16.37,228.72,0,3.72
2026-03-01,SKU-S007,Correction Tape,Stationery,0,0,Forecasted,,Forecast_Model,106,5,0.85,24.62,6.5,9.51,132.61,0,4.31
2026-03-01,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,172,7,0.9,37.65,10.1,36.51,300.06,0,4.57
2026-03-01,SKU-S009,Highlighter Set,Stationery,0,0,Forecasted,,Forecast_Model,90,5,0.85,19.62,5.3,7.75,105.85,0,4.59
2026-03-01,SKU-S010,File Folders Letter,Stationery,0,0,Forecasted,,Forecast_Model,137,10,0.9,27.34,7.6,27.48,300.88,0,5.01
2026-03-01,SKU-S011,Index Cards 3x5,Stationery,0,0,Forecasted,,Forecast_Model,104,5,0.85,21.33,5.8,8.48,115.13,0,4.88
2026-03-01,SKU-F001,Desk Lamp LED,Furniture,0,0,Forecasted,,Forecast_Model,86,14,0.95,8.3,2.3,14.15,130.34,0,10.36
2026-03-01,SKU-F002,Office Chair,Furniture,122,47298,Reorder Required,ORD-MAR26-20260201-SKU-F002,Forecast_Model,42,21,0.98,3.06,1.1,4.62,68.88,1,13.73
2026-03-01,SKU-F003,Monitor Stand,Furniture,0,0,Forecasted,,Forecast_Model,64,12,0.95,6.17,1.9,10.76,84.8,0,10.37
2026-03-01,SKU-F004,Desk Organizer,Furniture,0,0,Forecasted,,Forecast_Model,72,10,0.9,7.42,2.1,7.59,81.79,0,9.7
2026-03-01,SKU-F005,Laptop Stand,Furniture,0,0,Forecasted,,Forecast_Model,59,14,0.95,5.33,1.6,9.84,84.46,0,11.07
2026-03-01,SKU-F006,Filing Cabinet,Furniture,56,18850,Reorder Required,ORD-MAR26-20260201-SKU-F006,Forecast_Model,28,21,0.98,2.01,0.8,3.36,45.57,1,13.93
2026-03-01,SKU-F007,Footrest Ergonomic,Furniture,0,0,Forecasted,,Forecast_Model,50,14,0.9,4.66,1.5,7.35,72.59,0,10.73
2026-03-01,SKU-F008,Desk Mat Large,Furniture,0,0,Forecasted,,Forecast_Model,100,10,0.9,10.94,3.4,12.29,121.69,0,9.14
2026-03-01,SKU-O001,Scissors Office,Office Supplies,0,0,Forecasted,,Forecast_Model,79,7,0.85,16.16,4.4,6.43,119.55,0,4.89
2026-03-01,SKU-O002,Tape Dispenser,Office Supplies,0,0,Forecasted,,Forecast_Model,87,7,0.85,18.45,5.0,7.31,136.46,0,4.72
2026-03-01,SKU-O003,Paper Clips Box,Office Supplies,0,0,Forecasted,,Forecast_Model,143,5,0.85,31.63,8.9,13.01,171.16,0,4.52
2026-03-01,SKU-O004,Rubber Bands,Office Supplies,0,0,Forecasted,,Forecast_Model,119,5,0.85,26.24,7.1,10.38,141.58,0,4.54
2026-03-02,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,150,7,0.95,14.89,4.2,11.54,115.76,0,10.07
2026-03-02,SKU-E002,USB Cable Type-C 1m,Electronics,0,0,Forecasted,,Forecast_Model,69,5,0.9,25.48,6.1,11.04,138.44,0,2.71
2026-03-02,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,126,10,0.95,12.08,3.8,19.76,140.56,0,10.43
2026-03-02,SKU-E004,HDMI Cable 2m 4K,Electronics,0,0,Forecasted,,Forecast_Model,57,5,0.9,18.85,5.1,8.73,102.98,0,3.02
2026-03-02,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,90,10,0.95,9.62,2.7,14.04,110.24,0,9.36
2026-03-02,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,68,7,0.9,10.97,3.2,11.58,88.37,0,6.2
2026-03-02,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,72,7,0.9,14.02,3.9,14.1,112.24,0,5.14
2026-03-02,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,69,12,0.95,8.11,2.5,14.22,111.54,0,8.51
2026-03-02,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,96,5,0.9,22.67,6.8,12.31,125.66,0,4.24
2026-03-02,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,61,14,0.95,6.55,2.0,10.39,102.09,0,9.31
2026-03-02,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,186,10,0.95,32.08,8.5,44.21,364.98,0,5.8
2026-03-02,SKU-S002,Printer Paper A4,Stationery,0,0,Forecasted,,Forecast_Model,208,7,0.9,46.31,12.3,44.53,368.7,0,4.49
2026-03-02,SKU-S003,Sticky Notes Pack,Stationery,0,0,Forecasted,,Forecast_Model,122,5,0.85,29.34,7.2,10.53,157.23,0,4.16
2026-03-02,SKU-S004,Whiteboard Markers,Stationery,0,0,Forecasted,,Forecast_Model,149,7,0.9,35.77,9.4,33.95,284.34,0,4.17
2026-03-02,SKU-S005,Stapler Heavy Duty,Stationery,0,0,Forecasted,,Forecast_Model,56,5,0.85,14.73,3.6,5.26,78.91,0,3.8
2026-03-02,SKU-S006,Binder Clips,Stationery,0,0,Forecasted,,Forecast_Model,115,5,0.85,43.44,11.2,16.37,233.57,0,2.65
2026-03-02,SKU-S007,Correction Tape,Stationery,0,0,Forecasted,,Forecast_Model,81,5,0.85,25.23,6.5,9.51,135.66,0,3.21
2026-03-02,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,134,7,0.9,38.65,10.1,36.51,307.06,0,3.47
2026-03-02,SKU-S009,Highlighter Set,Stationery,0,0,Forecasted,,Forecast_Model,70,5,0.85,20.15,5.3,7.75,108.5,0,3.47
2026-03-02,SKU-S010,File Folders Letter,Stationery,0,0,Forecasted,,Forecast_Model,109,10,0.9,27.95,7.6,27.48,307.0,0,3.9
2026-03-02,SKU-S011,Index Cards 3x5,Stationery,0,0,Forecasted,,Forecast_Model,82,5,0.85,21.87,5.8,8.48,118.0,0,3.75
2026-03-02,SKU-F001,Desk Lamp LED,Furniture,0,0,Forecasted,,Forecast_Model,77,14,0.95,8.63,2.3,14.15,135.02,0,8.92
2026-03-02,SKU-F002,Office Chair,Furniture,125,53222,Reorder Required,ORD-MAR26-20260202-SKU-F002,Forecast_Model,38,21,0.98,3.21,1.1,4.62,72.09,1,11.84
2026-03-02,SKU-F003,Monitor Stand,Furniture,0,0,Forecasted,,Forecast_Model,57,12,0.95,6.44,1.9,10.76,87.98,0,8.85
2026-03-02,SKU-F004,Desk Organizer,Furniture,0,0,Forecasted,,Forecast_Model,64,10,0.9,7.62,2.1,7.59,83.79,0,8.4
2026-03-02,SKU-F005,Laptop Stand,Furniture,0,0,Forecasted,,Forecast_Model,53,14,0.95,5.52,1.6,9.84,86.98,0,9.6
2026-03-02,SKU-F006,Filing Cabinet,Furniture,55,27142,Reorder Required,ORD-MAR26-20260202-SKU-F006,Forecast_Model,26,21,0.98,2.12,0.8,3.36,47.88,1,12.26
2026-03-02,SKU-F007,Footrest Ergonomic,Furniture,0,0,Forecasted,,Forecast_Model,45,14,0.9,4.79,1.5,7.35,74.41,0,9.4
2026-03-02,SKU-F008,Desk Mat Large,Furniture,0,0,Forecasted,,Forecast_Model,89,10,0.9,11.23,3.4,12.29,124.59,0,7.93
2026-03-02,SKU-O001,Scissors Office,Office Supplies,0,0,Forecasted,,Forecast_Model,62,7,0.85,16.6,4.4,6.43,122.63,0,3.73
2026-03-02,SKU-O002,Tape Dispenser,Office Supplies,0,0,Forecasted,,Forecast_Model,68,7,0.85,18.96,5.0,7.31,139.03,0,3.59
2026-03-02,SKU-O003,Paper Clips Box,Office Supplies,0,0,Forecasted,,Forecast_Model,111,5,0.85,32.47,8.9,13.01,175.36,0,3.42
2026-03-02,SKU-O004,Rubber Bands,Office Supplies,0,0,Forecasted,,Forecast_Model,92,5,0.85,26.95,7.1,10.38,145.13,0,3.41
2026-03-03,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,135,7,0.95,15.48,4.2,11.54,119.9,0,8.72
2026-03-03,SKU-E002,USB Cable Type-C 1m,Electronics,294,78798,Reorder Required,ORD-MAR26-20260203-SKU-E002,Forecast_Model,43,5,0.9,26.18,6.1,11.04,141.94,1,1.64
2026-03-03,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,114,10,0.95,12.46,3.8,19.76,144.36,0,9.15
2026-03-03,SKU-E004,HDMI Cable 2m 4K,Electronics,209,86860,Reorder Required,ORD-MAR26-20260203-SKU-E004,Forecast_Model,37,5,0.9,19.44,5.1,8.73,105.93,1,1.9
2026-03-03,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,80,10,0.95,9.95,2.7,14.04,113.54,0,8.04
2026-03-03,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,57,7,0.9,11.35,3.2,11.58,91.03,0,5.02
2026-03-03,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,58,7,0.9,14.49,3.9,14.1,115.53,0,4.0
2026-03-03,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,61,12,0.95,8.38,2.5,14.22,114.78,0,7.28
2026-03-03,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,73,5,0.9,23.32,6.8,12.31,128.91,0,3.13
2026-03-03,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,54,14,0.95,6.76,2.0,10.39,104.98,0,7.99
2026-03-03,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,153,10,0.95,33.13,8.5,44.21,375.48,0,4.62
2026-03-03,SKU-S002,Printer Paper A4,Stationery,0,0,Forecasted,,Forecast_Model,160,7,0.9,47.97,12.3,44.53,379.32,0,3.34
2026-03-03,SKU-S003,Sticky Notes Pack,Stationery,0,0,Forecasted,,Forecast_Model,92,5,0.85,30.32,7.2,10.53,162.13,0,3.03
2026-03-03,SKU-S004,Whiteboard Markers,Stationery,0,0,Forecasted,,Forecast_Model,112,7,0.9,37.17,9.4,33.95,294.14,0,3.01
2026-03-03,SKU-S005,Stapler Heavy Duty,Stationery,0,0,Forecasted,,Forecast_Model,41,5,0.85,15.22,3.6,5.26,81.36,0,2.69
2026-03-03,SKU-S006,Binder Clips,Stationery,436,103960,Reorder Required,ORD-MAR26-20260203-SKU-S006,Forecast_Model,71,5,0.85,44.44,11.2,16.37,238.57,1,1.6
2026-03-03,SKU-S007,Correction Tape,Stationery,0,0,Forecasted,,Forecast_Model,55,5,0.85,26.08,6.5,9.51,139.91,0,2.11
2026-03-03,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,95,7,0.9,39.99,10.1,36.51,316.44,0,2.38
2026-03-03,SKU-S009,Highlighter Set,Stationery,0,0,Forecasted,,Forecast_Model,49,5,0.85,20.84,5.3,7.75,111.95,0,2.35
2026-03-03,SKU-S010,File Folders Letter,Stationery,0,0,Forecasted,,Forecast_Model,80,10,0.9,28.92,7.6,27.48,316.68,0,2.77
2026-03-03,SKU-S011,Index Cards 3x5,Stationery,0,0,Forecasted,,Forecast_Model,60,5,0.85,22.61,5.8,8.48,121.53,0,2.65
2026-03-03,SKU-F001,Desk Lamp LED,Furniture,0,0,Forecasted,,Forecast_Model,68,14,0.95,8.99,2.3,14.15,139.96,0,7.56
2026-03-03,SKU-F002,Office Chair,Furniture,122,56023,Reorder Required,ORD-MAR26-20260203-SKU-F002,Forecast_Model,35,21,0.98,3.38,1.1,4.62,75.6,1,10.36
2026-03-03,SKU-F003,Monitor Stand,Furniture,0,0,Forecasted,,Forecast_Model,51,12,0.95,6.73,1.9,10.76,91.52,0,7.58
2026-03-03,SKU-F004,Desk Organizer,Furniture,0,0,Forecasted,,Forecast_Model,56,10,0.9,7.89,2.1,7.59,86.49,0,7.1
2026-03-03,SKU-F005,Laptop Stand,Furniture,0,0,Forecasted,,Forecast_Model,48,14,0.95,5.73,1.6,9.84,89.66,0,8.38
2026-03-03,SKU-F006,Filing Cabinet,Furniture,51,21170,Reorder Required,ORD-MAR26-20260203-SKU-F006,Forecast_Model,24,21,0.98,2.23,0.8,3.36,50.19,1,10.76
2026-03-03,SKU-F007,Footrest Ergonomic,Furniture,0,0,Forecasted,,Forecast_Model,40,14,0.9,4.94,1.5,7.35,76.51,0,8.1
2026-03-03,SKU-F008,Desk Mat Large,Furniture,0,0,Forecasted,,Forecast_Model,77,10,0.9,11.61,3.4,12.29,128.39,0,6.63
2026-03-03,SKU-O001,Scissors Office,Office Supplies,0,0,Forecasted,,Forecast_Model,45,7,0.85,17.15,4.4,6.43,126.48,0,2.62
2026-03-03,SKU-O002,Tape Dispenser,Office Supplies,0,0,Forecasted,,Forecast_Model,49,7,0.85,19.61,5.0,7.31,144.58,0,2.5
2026-03-03,SKU-O003,Paper Clips Box,Office Supplies,456,147600,Reorder Required,ORD-MAR26-20260203-SKU-O003,Forecast_Model,78,5,0.85,33.57,8.9,13.01,180.86,1,2.32
2026-03-03,SKU-O004,Rubber Bands,Office Supplies,0,0,Forecasted,,Forecast_Model,65,5,0.85,27.87,7.1,10.38,149.73,0,2.33
2026-03-04,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,119,7,0.95,16.12,4.2,11.54,124.38,0,7.38
2026-03-04,SKU-E002,USB Cable Type-C 1m,Electronics,249,89568,Reorder Required,ORD-MAR26-20260204-SKU-E002,Forecast_Model,16,5,0.9,26.93,6.1,11.04,145.69,1,0.59
2026-03-04,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,101,10,0.95,12.9,3.8,19.76,148.76,0,7.83
2026-03-04,SKU-E004,HDMI Cable 2m 4K,Electronics,224,75600,Reorder Required,ORD-MAR26-20260204-SKU-E004,Forecast_Model,17,5,0.9,20.07,5.1,8.73,109.08,1,0.85
2026-03-04,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,70,10,0.95,10.32,2.7,14.04,117.24,0,6.78
2026-03-04,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,45,7,0.9,11.77,3.2,11.58,93.97,0,3.82
2026-03-04,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,44,7,0.9,15.01,3.9,14.1,119.17,0,2.93
2026-03-04,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,52,12,0.95,8.68,2.5,14.22,118.38,0,5.99
2026-03-04,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,49,5,0.9,24.01,6.8,12.31,132.36,0,2.04
2026-03-04,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,47,14,0.95,7.0,2.0,10.39,108.39,0,6.71
2026-03-04,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,119,10,0.95,34.24,8.5,44.21,386.58,0,3.47
2026-03-04,SKU-S002,Printer Paper A4,Stationery,634,241970,Reorder Required,ORD-MAR26-20260204-SKU-S002,Forecast_Model,111,7,0.9,48.88,12.3,44.53,386.69,1,2.27
2026-03-04,SKU-S003,Sticky Notes Pack,Stationery,0,0,Forecasted,,Forecast_Model,61,5,0.85,31.36,7.2,10.53,167.33,0,1.95
2026-03-04,SKU-S004,Whiteboard Markers,Stationery,452,179200,Reorder Required,ORD-MAR26-20260204-SKU-S004,Forecast_Model,74,7,0.9,37.83,9.4,33.95,298.76,1,1.96
2026-03-04,SKU-S005,Stapler Heavy Duty,Stationery,140,57358,Reorder Required,ORD-MAR26-20260204-SKU-S005,Forecast_Model,25,5,0.85,15.74,3.6,5.26,84.96,1,1.59
2026-03-04,SKU-S006,Binder Clips,Stationery,406,103824,Reorder Required,ORD-MAR26-20260204-SKU-S006,Forecast_Model,26,5,0.85,45.49,11.2,16.37,243.82,1,0.57
2026-03-04,SKU-S007,Correction Tape,Stationery,261,78300,Reorder Required,ORD-MAR26-20260204-SKU-S007,Forecast_Model,28,5,0.85,26.97,6.5,9.51,144.36,1,1.04
2026-03-04,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,54,7,0.9,41.39,10.1,36.51,326.21,0,1.3
2026-03-04,SKU-S009,Highlighter Set,Stationery,0,0,Forecasted,,Forecast_Model,28,5,0.85,21.57,5.3,7.75,115.6,0,1.3
2026-03-04,SKU-S010,File Folders Letter,Stationery,0,0,Forecasted,,Forecast_Model,51,10,0.9,29.95,7.6,27.48,326.98,0,1.7
2026-03-04,SKU-S011,Index Cards 3x5,Stationery,0,0,Forecasted,,Forecast_Model,37,5,0.85,23.39,5.8,8.48,125.43,0,1.58
2026-03-04,SKU-F001,Desk Lamp LED,Furniture,0,0,Forecasted,,Forecast_Model,59,14,0.95,9.37,2.3,14.15,145.91,0,6.3
2026-03-04,SKU-F002,Office Chair,Furniture,122,30855,Reorder Required,ORD-MAR26-20260204-SKU-F002,Forecast_Model,31,21,0.98,3.56,1.1,4.62,79.38,1,8.71
2026-03-04,SKU-F003,Monitor Stand,Furniture,0,0,Forecasted,,Forecast_Model,44,12,0.95,7.04,1.9,10.76,95.24,0,6.25
2026-03-04,SKU-F004,Desk Organizer,Furniture,0,0,Forecasted,,Forecast_Model,48,10,0.9,8.17,2.1,7.59,89.29,0,5.87
2026-03-04,SKU-F005,Laptop Stand,Furniture,0,0,Forecasted,,Forecast_Model,42,14,0.95,5.96,1.6,9.84,92.28,0,7.05
2026-03-04,SKU-F006,Filing Cabinet,Furniture,62,23606,Reorder Required,ORD-MAR26-20260204-SKU-F006,Forecast_Model,22,21,0.98,2.35,0.8,3.36,52.71,1,9.36
2026-03-04,SKU-F007,Footrest Ergonomic,Furniture,0,0,Forecasted,,Forecast_Model,35,14,0.9,5.11,1.5,7.35,78.9,0,6.85
2026-03-04,SKU-F008,Desk Mat Large,Furniture,0,0,Forecasted,,Forecast_Model,66,10,0.9,12.02,3.4,12.29,132.49,0,5.49
2026-03-04,SKU-O001,Scissors Office,Office Supplies,208,90720,Reorder Required,ORD-MAR26-20260204-SKU-O001,Forecast_Model,27,7,0.85,17.74,4.4,6.43,130.61,1,1.52
2026-03-04,SKU-O002,Tape Dispenser,Office Supplies,278,83200,Reorder Required,ORD-MAR26-20260204-SKU-O002,Forecast_Model,29,7,0.85,20.3,5.0,7.31,149.41,1,1.43
2026-03-04,SKU-O003,Paper Clips Box,Office Supplies,389,154870,Reorder Required,ORD-MAR26-20260204-SKU-O003,Forecast_Model,44,5,0.85,34.71,8.9,13.01,186.56,1,1.27
2026-03-04,SKU-O004,Rubber Bands,Office Supplies,321,95760,Reorder Required,ORD-MAR26-20260204-SKU-O004,Forecast_Model,37,5,0.85,28.82,7.1,10.38,154.48,1,1.28
2026-03-05,SKU-E001,Wireless Mouse Optical,Electronics,0,0,Forecasted,,Forecast_Model,103,7,0.95,16.81,4.2,11.54,129.21,0,6.13
2026-03-05,SKU-E002,USB Cable Type-C 1m,Electronics,287,75922,Reorder Required,ORD-MAR26-20260205-SKU-E002,Forecast_Model,0,5,0.9,27.72,6.1,11.04,149.64,1,0.0
2026-03-05,SKU-E003,Mechanical Keyboard RGB,Electronics,0,0,Forecasted,,Forecast_Model,88,10,0.95,13.37,3.8,19.76,153.46,0,6.58
2026-03-05,SKU-E004,HDMI Cable 2m 4K,Electronics,251,73780,Reorder Required,ORD-MAR26-20260205-SKU-E004,Forecast_Model,0,5,0.9,20.75,5.1,8.73,112.48,1,0.0
2026-03-05,SKU-E005,Webcam HD 1080p,Electronics,0,0,Forecasted,,Forecast_Model,60,10,0.95,10.71,2.7,14.04,121.14,0,5.6
2026-03-05,SKU-E006,USB Hub 4-Port,Electronics,0,0,Forecasted,,Forecast_Model,33,7,0.9,12.22,3.2,11.58,97.12,0,2.7
2026-03-05,SKU-E007,Power Strip 6-Outlet,Electronics,0,0,Forecasted,,Forecast_Model,29,7,0.9,15.57,3.9,14.1,123.09,0,1.86
2026-03-05,SKU-E008,Bluetooth Speaker,Electronics,0,0,Forecasted,,Forecast_Model,43,12,0.95,9.01,2.5,14.22,122.34,0,4.77
2026-03-05,SKU-E009,Phone Charger Fast,Electronics,0,0,Forecasted,,Forecast_Model,24,5,0.9,24.74,6.8,12.31,135.01,0,0.97
2026-03-05,SKU-E010,Laptop Cooling Pad,Electronics,0,0,Forecasted,,Forecast_Model,40,14,0.95,7.26,2.0,10.39,112.03,0,5.51
2026-03-05,SKU-S001,Notebook A4 Ruled,Stationery,0,0,Forecasted,,Forecast_Model,84,10,0.95,35.42,8.5,44.21,398.38,0,2.37
2026-03-05,SKU-S002,Printer Paper A4,Stationery,662,200320,Reorder Required,ORD-MAR26-20260205-SKU-S002,Forecast_Model,61,7,0.9,50.25,12.3,44.53,395.28,1,1.21
2026-03-05,SKU-S003,Sticky Notes Pack,Stationery,273,128856,Reorder Required,ORD-MAR26-20260205-SKU-S003,Forecast_Model,29,5,0.85,32.44,7.2,10.53,172.73,1,0.89
2026-03-05,SKU-S004,Whiteboard Markers,Stationery,430,180400,Reorder Required,ORD-MAR26-20260205-SKU-S004,Forecast_Model,35,7,0.9,39.19,9.4,33.95,308.28,1,0.89
2026-03-05,SKU-S005,Stapler Heavy Duty,Stationery,154,55080,Reorder Required,ORD-MAR26-20260205-SKU-S005,Forecast_Model,9,5,0.85,16.3,3.6,5.26,87.76,1,0.55
2026-03-05,SKU-S006,Binder Clips,Stationery,434,128340,Reorder Required,ORD-MAR26-20260205-SKU-S006,Forecast_Model,0,5,0.85,46.58,11.2,16.37,249.27,1,0.0
2026-03-05,SKU-S007,Correction Tape,Stationery,239,68100,Reorder Required,ORD-MAR26-20260205-SKU-S007,Forecast_Model,1,5,0.85,27.91,6.5,9.51,149.06,1,0.04
2026-03-05,SKU-S008,Pen Set Ballpoint,Stationery,0,0,Forecasted,,Forecast_Model,11,7,0.9,42.85,10.1,36.51,336.46,0,0.26
