date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2025-11-05,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,10,2700,Delivered,ORD-NOV-0001,Murshid,12,5,0.95,7.29,2.05,7.54,43.99,1,1.65
2025-11-09,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,9,2700,Packed,ORD-NOV-0002,Nazlin,296,5,0.95,7.29,2.05,7.54,43.99,0,40.6
2025-11-12,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,9,2700,Delivered,ORD-NOV-0003,Murshid,287,5,0.95,7.29,2.05,7.54,43.99,0,39.37
2025-11-16,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,5,3000,Shipped,ORD-NOV-0004,Mr.Ilham,13,5,0.95,7.29,2.05,7.54,43.99,1,1.78
2025-11-20,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,7,3100,Pending,ORD-NOV-0005,Murshid,275,5,0.95,7.29,2.05,7.54,43.99,0,37.72
2025-11-24,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,7,2900,Shipped,ORD-NOV-0006,Mr.Ilham,268,5,0.95,7.29,2.05,7.54,43.99,0,36.76
2025-11-30,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,4,3000,Delivered,ORD-NOV-0007,Mr.Ilham,264,5,0.95,7.29,2.05,7.54,43.99,0,36.21
2025-11-02,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,4,4200,Packed,ORD-NOV-0008,Nazlin,438,4,0.95,8.33,2.05,6.74,40.06,0,52.58
2025-11-03,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,8,4100,Cancelled,ORD-NOV-0009,Murshid,430,4,0.95,8.33,2.05,6.74,40.06,0,51.62
2025-11-22,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,10,4700,Shipped,ORD-NOV-0010,Nazlin,420,4,0.95,8.33,2.05,6.74,40.06,0,50.42
2025-11-26,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,9,4400,Shipped,ORD-NOV-0011,Hakeem,33,4,0.95,8.33,2.05,6.74,40.06,1,3.96
2025-11-28,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,10,4500,Shipped,ORD-NOV-0012,Hakeem,401,4,0.95,8.33,2.05,6.74,40.06,0,48.14
