date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2025-10-11,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,2,2400,Packed,ORD-OCT-0001,Mr.Ilham,297,5,0.95,5.43,3.11,11.44,38.59,0,54.7
2025-10-13,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,1,2400,Pending,ORD-OCT-0002,Hakeem,296,5,0.95,5.43,3.11,11.44,38.59,0,54.51
2025-10-16,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,6,2700,Packed,ORD-OCT-0860,Nazlin,284,5,0.95,5.43,3.11,11.44,38.59,0,52.3
2025-10-19,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,9,2500,Packed,ORD-OCT-0003,Murshid,287,5,0.95,5.43,3.11,11.44,38.59,0,52.85
2025-10-25,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,4,2500,Packed,ORD-OCT-0004,Hakeem,283,5,0.95,5.43,3.11,11.44,38.59,0,52.12
2025-10-30,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,10,2600,Packed,ORD-OCT-0005,Murshid,273,5,0.95,5.43,3.11,11.44,38.59,0,50.28
2025-10-31,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,6,2500,Packed,ORD-OCT-0006,Hakeem,267,5,0.95,5.43,3.11,11.44,38.59,0,49.17
2025-10-01,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,3,4900,Packed,ORD-OCT-0846,Nazlin,323,4,0.95,5.0,1.85,6.09,26.09,0,64.6
2025-10-05,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,6,4700,Packed,ORD-OCT-0007,Murshid,320,4,0.95,5.0,1.85,6.09,26.09,0,64.0
2025-10-14,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,4,4200,Packed,ORD-OCT-0008,Murshid,316,4,0.95,5.0,1.85,6.09,26.09,0,63.2
2025-10-16,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,8,4500,Shipped,ORD-OCT-0856,Murshid,315,4,0.95,5.0,1.85,6.09,26.09,0,63.0
2025-10-18,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,3,4800,Shipped,ORD-OCT-0009,Nazlin,18,4,0.95,5.0,1.85,6.09,26.09,1,3.6
2025-10-24,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,7,4900,Packed,ORD-OCT-0010,Hakeem,306,4,0.95,5.0,1.85,6.09,26.09,0,61.2
2025-10-30,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,4,4800,Delivered,ORD-OCT-0011,Mr.Ilham,302,4,0.95,5.0,1.85,6.09,26.09,0,60.4
2025-10-02,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,3,6800,Shipped,ORD-OCT-0012,Hakeem,255,7,0.95,4.5,2.74,11.93,43.43,0,56.67
2025-10-03,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,4,7400,Shipped,ORD-OCT-0013,Nazlin,251,7,0.95,4.5,2.74,11.93,43.43,0,55.78
2025-10-04,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,9,6500,Delivered,ORD-OCT-0014,Nazlin,242,7,0.95,4.5,2.74,11.93,43.43,0,53.78
2025-10-06,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,4,7400,Packed,ORD-OCT-0015,Nazlin,238,7,0.95,4.5,2.74,11.93,43.43,0,52.89
2025-10-15,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,9,6400,Shipped,ORD-OCT-0016,Murshid,229,7,0.95,4.5,2.74,11.93,43.43,0,50.89
2025-10-16,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,1,7500,Packed,ORD-OCT-0870,Murshid,254,7,0.95,4.5,2.74,11.93,43.43,0,56.44
2025-10-19,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,3,7400,Packed,ORD-OCT-0991,Murshid,245,7,0.95,4.5,2.74,11.93,43.43,0,54.44
2025-10-27,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,3,6800,Packed,ORD-OCT-0017,Hakeem,226,7,0.95,4.5,2.74,11.93,43.43,0,50.22
2025-10-13,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,10,6200,Shipped,ORD-OCT-0018,Mr.Ilham,30,6,0.95,5.4,3.14,12.65,45.05,1,5.56
2025-10-17,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,7,6500,Pending,ORD-OCT-0019,Mr.Ilham,507,6,0.95,5.4,3.14,12.65,45.05,0,93.89
2025-10-20,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,1,6100,Packed,ORD-OCT-0020,Hakeem,41,6,0.95,5.4,3.14,12.65,45.05,1,7.59
2025-10-28,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,3,6800,Packed,ORD-OCT-0021,Murshid,503,6,0.95,5.4,3.14,12.65,45.05,0,93.15
2025-10-29,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,6,7400,Shipped,ORD-OCT-0022,Mr.Ilham,497,6,0.95,5.4,3.14,12.65,45.05,0,92.04
2025-10-05,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,1,3800,Shipped,ORD-OCT-0023,Hakeem,15,3,0.95,5.6,3.14,8.95,25.75,1,2.68
2025-10-06,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,10,3400,Packed,ORD-OCT-0024,Mr.Ilham,365,3,0.95,5.6,3.14,8.95,25.75,0,65.18
2025-10-16,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,5,3900,Pending,ORD-OCT-0025,Nazlin,360,3,0.95,5.6,3.14,8.95,25.75,0,64.29
2025-10-29,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,8,3500,Shipped,ORD-OCT-0026,Mr.Ilham,7,3,0.95,5.6,3.14,8.95,25.75,1,1.25
2025-10-30,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,4,3800,Delivered,ORD-OCT-0027,Mr.Ilham,348,3,0.95,5.6,3.14,8.95,25.75,0,62.14
2025-10-05,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,4,4200,Packed,ORD-OCT-0028,Hakeem,389,7,0.95,4.67,1.89,8.23,40.92,0,83.3
2025-10-06,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,4,4400,Packed,ORD-OCT-0029,Murshid,385,7,0.95,4.67,1.89,8.23,40.92,0,82.44
2025-10-08,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,8,3800,Shipped,ORD-OCT-0030,Mr.Ilham,377,7,0.95,4.67,1.89,8.23,40.92,0,80.73
2025-10-14,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,4,4300,Shipped,ORD-OCT-0031,Mr.Ilham,373,7,0.95,4.67,1.89,8.23,40.92,0,79.87
2025-10-31,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,6,4200,Packed,ORD-OCT-0032,Hakeem,367,7,0.95,4.67,1.89,8.23,40.92,0,78.59
2025-10-31,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,2,4400,Packed,ORD-OCT-0875,Mr.Ilham,386,7,0.95,4.67,1.89,8.23,40.92,0,82.66
2025-10-02,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,3,5700,Cancelled,ORD-OCT-0033,Murshid,453,4,0.95,7.0,2.06,6.78,34.78,0,64.71
2025-10-09,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,7,6300,Packed,ORD-OCT-0034,Mr.Ilham,446,4,0.95,7.0,2.06,6.78,34.78,0,63.71
2025-10-11,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,7,6600,Packed,ORD-OCT-0035,Nazlin,439,4,0.95,7.0,2.06,6.78,34.78,0,62.71
2025-10-13,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,8,6700,Packed,ORD-OCT-0976,Mr.Ilham,450,4,0.95,7.0,2.06,6.78,34.78,0,64.29
2025-10-18,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,9,6100,Packed,ORD-OCT-0036,Nazlin,430,4,0.95,7.0,2.06,6.78,34.78,0,61.43
2025-10-19,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,5,6500,Packed,ORD-OCT-0037,Hakeem,425,4,0.95,7.0,2.06,6.78,34.78,0,60.71
2025-10-23,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,10,6600,Shipped,ORD-OCT-0038,Hakeem,415,4,0.95,7.0,2.06,6.78,34.78,0,59.29
2025-10-27,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,7,6500,Packed,ORD-OCT-0903,Murshid,448,4,0.95,7.0,2.06,6.78,34.78,0,64.0
2025-10-03,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,1,6500,Delivered,ORD-OCT-0872,Hakeem,410,6,0.95,6.0,3.29,13.26,49.26,0,68.33
2025-10-05,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,10,6900,Shipped,ORD-OCT-0039,Nazlin,27,6,0.95,6.0,3.29,13.26,49.26,1,4.5
2025-10-22,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,4,7100,Packed,ORD-OCT-0861,Mr.Ilham,412,6,0.95,6.0,3.29,13.26,49.26,0,68.67
2025-10-24,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,9,7600,Packed,ORD-OCT-0040,Hakeem,402,6,0.95,6.0,3.29,13.26,49.26,0,67.0
2025-10-30,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,6,7600,Packed,ORD-OCT-0932,Nazlin,412,6,0.95,6.0,3.29,13.26,49.26,0,68.67
2025-10-02,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,5,8100,Packed,ORD-OCT-0041,Mr.Ilham,9,3,0.95,5.4,2.65,7.55,23.75,1,1.67
2025-10-05,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,5,8400,Packed,ORD-OCT-0042,Nazlin,371,3,0.95,5.4,2.65,7.55,23.75,0,68.7
2025-10-08,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,1,8300,Cancelled,ORD-OCT-0043,Murshid,12,3,0.95,5.4,2.65,7.55,23.75,1,2.22
2025-10-11,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,7,8400,Delivered,ORD-OCT-0044,Mr.Ilham,363,3,0.95,5.4,2.65,7.55,23.75,0,67.22
2025-10-12,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,9,9200,Pending,ORD-OCT-0045,Murshid,354,3,0.95,5.4,2.65,7.55,23.75,0,65.56
2025-10-01,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,5,7400,Cancelled,ORD-OCT-0046,Nazlin,27,6,0.95,4.25,1.48,5.96,31.46,1,6.35
2025-10-03,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,2,7500,Packed,ORD-OCT-0047,Mr.Ilham,274,6,0.95,4.25,1.48,5.96,31.46,0,64.47
2025-10-03,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,4,7300,Cancelled,ORD-OCT-0048,Mr.Ilham,270,6,0.95,4.25,1.48,5.96,31.46,0,63.53
2025-10-26,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,6,6900,Delivered,ORD-OCT-0049,Nazlin,264,6,0.95,4.25,1.48,5.96,31.46,0,62.12
2025-10-02,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,4,3900,Packed,ORD-OCT-0050,Murshid,12,4,0.95,4.5,2.87,9.44,27.44,1,2.67
2025-10-14,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,4,3900,Cancelled,ORD-OCT-0963,Murshid,422,4,0.95,4.5,2.87,9.44,27.44,0,93.78
2025-10-25,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,1,3900,Packed,ORD-OCT-0051,Murshid,432,4,0.95,4.5,2.87,9.44,27.44,0,96.0
2025-10-30,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,9,4500,Packed,ORD-OCT-0052,Hakeem,11,4,0.95,4.5,2.87,9.44,27.44,1,2.44
2025-10-05,DC-1011,Magnesium Glycinate 400mg,Health & Supplements,1,4700,Delivered,ORD-OCT-0053,Murshid,542,3,0.95,6.0,3.74,10.66,28.66,0,90.33
2025-10-08,DC-1011,Magnesium Glycinate 400mg,Health & Supplements,7,4900,Delivered,ORD-OCT-0054,Murshid,535,3,0.95,6.0,3.74,10.66,28.66,0,89.17
2025-10-15,DC-1011,Magnesium Glycinate 400mg,Health & Supplements,10,4300,Shipped,ORD-OCT-0055,Mr.Ilham,525,3,0.95,6.0,3.74,10.66,28.66,0,87.5
2025-10-05,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,1,5300,Delivered,ORD-OCT-0056,Murshid,350,3,0.95,5.67,3.4,9.69,26.7,0,61.73
2025-10-27,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,7,5300,Shipped,ORD-OCT-0057,Hakeem,343,3,0.95,5.67,3.4,9.69,26.7,0,60.49
2025-10-30,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,9,4900,Shipped,ORD-OCT-0058,Nazlin,6,3,0.95,5.67,3.4,9.69,26.7,1,1.06
2025-10-22,DC-1013,Zinc Picolinate 50mg Tablets,Health & Supplements,4,4700,Cancelled,ORD-OCT-0059,Hakeem,469,7,0.95,6.5,2.5,10.88,56.38,0,72.15
2025-10-26,DC-1013,Zinc Picolinate 50mg Tablets,Health & Supplements,9,4800,Packed,ORD-OCT-0060,Murshid,460,7,0.95,6.5,2.5,10.88,56.38,0,70.77
2025-10-03,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,8,10300,Packed,ORD-OCT-0061,Nazlin,429,3,0.95,5.38,2.5,7.12,23.26,0,79.74
2025-10-04,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,1,10300,Delivered,ORD-OCT-0062,Mr.Ilham,428,3,0.95,5.38,2.5,7.12,23.26,0,79.55
2025-10-06,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,7,9700,Delivered,ORD-OCT-0977,Murshid,435,3,0.95,5.38,2.5,7.12,23.26,0,80.86
2025-10-09,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,2,9000,Packed,ORD-OCT-0063,Murshid,426,3,0.95,5.38,2.5,7.12,23.26,0,79.18
2025-10-11,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,7,10400,Packed,ORD-OCT-0064,Murshid,419,3,0.95,5.38,2.5,7.12,23.26,0,77.88
2025-10-19,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,5,10600,Shipped,ORD-OCT-0961,Murshid,433,3,0.95,5.38,2.5,7.12,23.26,0,80.48
2025-10-21,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,8,10200,Packed,ORD-OCT-0905,Nazlin,10,3,0.95,5.38,2.5,7.12,23.26,1,1.86
2025-10-31,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,5,10500,Shipped,ORD-OCT-0065,Mr.Ilham,414,3,0.95,5.38,2.5,7.12,23.26,0,76.95
2025-10-04,DC-1015,Ashwagandha Root Extract 600mg,Health & Supplements,6,7100,Packed,ORD-OCT-0066,Murshid,492,3,0.95,5.17,3.18,9.06,24.57,0,95.16
