date,sku,product_name,category,quantity,amount,status,order_id,created_by,current_stock,lead_time_days,service_level,avg_daily_sales_sku,demand_std_sku,safety_stock,reorder_point,reorder_flag,stock_cover_days
2025-09-04,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,9,2500,Shipped,ORD-SEP-0001,Murshid,464,5,0.95,4.57,3.06,11.26,34.11,0,101.53
2025-09-09,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,1,2600,Shipped,ORD-SEP-0002,Murshid,463,5,0.95,4.57,3.06,11.26,34.11,0,101.31
2025-09-16,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,8,2600,Shipped,ORD-SEP-0003,Nazlin,455,5,0.95,4.57,3.06,11.26,34.11,0,99.56
2025-09-18,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,1,2700,Delivered,ORD-SEP-0958,Murshid,467,5,0.95,4.57,3.06,11.26,34.11,0,102.19
2025-09-19,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,6,2700,Shipped,ORD-SEP-0004,Hakeem,449,5,0.95,4.57,3.06,11.26,34.11,0,98.25
2025-09-22,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,5,2600,Packed,ORD-SEP-0005,Hakeem,11,5,0.95,4.57,3.06,11.26,34.11,1,2.41
2025-09-25,DC-1000,Vitamin D3 5000IU Capsules,Health & Supplements,2,2700,Packed,ORD-SEP-0006,Nazlin,24,5,0.95,4.57,3.06,11.26,34.11,1,5.25
2025-09-08,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,5,4500,Delivered,ORD-SEP-0007,Murshid,465,4,0.95,5.0,2.45,8.06,28.06,0,93.0
2025-09-17,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,2,4800,Pending,ORD-SEP-0008,Mr.Ilham,463,4,0.95,5.0,2.45,8.06,28.06,0,92.6
2025-09-28,DC-1001,Magnesium Glycinate 400mg,Health & Supplements,8,4800,Cancelled,ORD-SEP-0009,Murshid,19,4,0.95,5.0,2.45,8.06,28.06,1,3.8
2025-09-01,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,2,7800,Cancelled,ORD-SEP-0010,Nazlin,464,7,0.95,4.67,3.09,13.45,46.14,0,99.36
2025-09-02,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,10,7200,Packed,ORD-SEP-0011,Mr.Ilham,454,7,0.95,4.67,3.09,13.45,46.14,0,97.22
2025-09-10,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,1,6600,Shipped,ORD-SEP-0012,Mr.Ilham,18,7,0.95,4.67,3.09,13.45,46.14,1,3.85
2025-09-24,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,5,6500,Pending,ORD-SEP-0013,Mr.Ilham,448,7,0.95,4.67,3.09,13.45,46.14,0,95.93
2025-09-26,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,3,7800,Delivered,ORD-SEP-0014,Mr.Ilham,445,7,0.95,4.67,3.09,13.45,46.14,0,95.29
2025-09-29,DC-1002,Vitamin D3 5000IU Capsules,Health & Supplements,7,6800,Shipped,ORD-SEP-0015,Hakeem,438,7,0.95,4.67,3.09,13.45,46.14,0,93.79
2025-09-02,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,4,6600,Packed,ORD-SEP-0016,Nazlin,432,6,0.95,4.29,2.31,9.31,35.05,0,100.7
2025-09-03,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,3,6400,Packed,ORD-SEP-0017,Hakeem,429,6,0.95,4.29,2.31,9.31,35.05,0,100.0
2025-09-12,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,6,6400,Packed,ORD-SEP-0888,Nazlin,31,6,0.95,4.29,2.31,9.31,35.05,1,7.23
2025-09-19,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,6,6400,Packed,ORD-SEP-0018,Murshid,29,6,0.95,4.29,2.31,9.31,35.05,1,6.76
2025-09-22,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,1,6600,Packed,ORD-SEP-0019,Mr.Ilham,422,6,0.95,4.29,2.31,9.31,35.05,0,98.37
2025-09-23,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,8,6300,Delivered,ORD-SEP-0020,Hakeem,414,6,0.95,4.29,2.31,9.31,35.05,0,96.5
2025-09-29,DC-1003,Vitamin D3 5000IU Capsules,Health & Supplements,2,6600,Shipped,ORD-SEP-0854,Hakeem,425,6,0.95,4.29,2.31,9.31,35.05,0,99.07
2025-09-21,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,9,3300,Packed,ORD-SEP-0021,Hakeem,259,3,0.95,6.5,2.5,7.12,26.62,0,39.85
2025-09-30,DC-1004,Turmeric Curcumin 1500mg Supplement,Health & Supplements,4,4000,Packed,ORD-SEP-0022,Hakeem,255,3,0.95,6.5,2.5,7.12,26.62,0,39.23
2025-09-03,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,8,4200,Packed,ORD-SEP-0023,Nazlin,35,7,0.95,6.0,2.08,9.05,51.05,1,5.83
2025-09-06,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,5,3800,Packed,ORD-SEP-0024,Murshid,452,7,0.95,6.0,2.08,9.05,51.05,0,75.33
2025-09-13,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,8,4200,Packed,ORD-SEP-0025,Murshid,444,7,0.95,6.0,2.08,9.05,51.05,0,74.0
2025-09-21,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,7,4600,Pending,ORD-SEP-0026,Mr.Ilham,12,7,0.95,6.0,2.08,9.05,51.05,1,2.0
2025-09-22,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,6,4300,Shipped,ORD-SEP-0917,Mr.Ilham,454,7,0.95,6.0,2.08,9.05,51.05,0,75.67
2025-09-27,DC-1005,Magnesium Glycinate 400mg,Health & Supplements,2,4600,Packed,ORD-SEP-0027,Hakeem,435,7,0.95,6.0,2.08,9.05,51.05,0,72.5
2025-09-10,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,1,5500,Packed,ORD-SEP-0028,Nazlin,466,4,0.95,4.0,3.08,10.13,26.13,0,116.5
2025-09-22,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,8,5900,Packed,ORD-SEP-0029,Hakeem,458,4,0.95,4.0,3.08,10.13,26.13,0,114.5
2025-09-29,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,6,6500,Packed,ORD-SEP-0906,Murshid,454,4,0.95,4.0,3.08,10.13,26.13,0,113.5
2025-09-30,DC-1006,Turmeric Curcumin 1500mg Supplement,Health & Supplements,1,5600,Shipped,ORD-SEP-0030,Murshid,457,4,0.95,4.0,3.08,10.13,26.13,0,114.25
2025-09-04,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,6,7800,Shipped,ORD-SEP-0031,Mr.Ilham,251,6,0.95,6.0,2.45,9.87,45.87,0,41.83
2025-09-16,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,2,6800,Packed,ORD-SEP-0032,Mr.Ilham,23,6,0.95,6.0,2.45,9.87,45.87,1,3.83
2025-09-19,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,8,6900,Delivered,ORD-SEP-0033,Mr.Ilham,23,6,0.95,6.0,2.45,9.87,45.87,1,3.83
2025-09-27,DC-1007,Collagen Peptides Powder 500g,Health & Supplements,8,6700,Packed,ORD-SEP-0034,Hakeem,28,6,0.95,6.0,2.45,9.87,45.87,1,4.67
2025-09-02,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,4,8200,Delivered,ORD-SEP-0035,Hakeem,348,3,0.95,5.0,1.41,4.02,19.02,0,69.6
2025-09-04,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,7,9200,Packed,ORD-SEP-0036,Hakeem,341,3,0.95,5.0,1.41,4.02,19.02,0,68.2
2025-09-17,DC-1008,Probiotic 50 Billion CFU Capsules,Health & Supplements,4,8100,Packed,ORD-SEP-0037,Nazlin,337,3,0.95,5.0,1.41,4.02,19.02,0,67.4
2025-09-03,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,4,6200,Packed,ORD-SEP-0038,Mr.Ilham,528,6,0.95,5.8,1.83,7.37,42.17,0,91.03
2025-09-09,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,6,6500,Delivered,ORD-SEP-0039,Nazlin,522,6,0.95,5.8,1.83,7.37,42.17,0,90.0
2025-09-13,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,6,6300,Packed,ORD-SEP-0040,Murshid,516,6,0.95,5.8,1.83,7.37,42.17,0,88.97
2025-09-18,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,4,7400,Packed,ORD-SEP-0903,Mr.Ilham,520,6,0.95,5.8,1.83,7.37,42.17,0,89.66
2025-09-19,DC-1009,Omega-3 Fish Oil Softgels,Health & Supplements,9,6600,Shipped,ORD-SEP-0041,Mr.Ilham,507,6,0.95,5.8,1.83,7.37,42.17,0,87.41
2025-09-02,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,6,3800,Packed,ORD-SEP-0042,Mr.Ilham,416,4,0.95,5.6,3.2,10.53,32.93,0,74.29
2025-09-08,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,9,3800,Shipped,ORD-SEP-0043,Hakeem,19,4,0.95,5.6,3.2,10.53,32.93,1,3.39
2025-09-09,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,1,3800,Shipped,ORD-SEP-0044,Mr.Ilham,406,4,0.95,5.6,3.2,10.53,32.93,0,72.5
2025-09-17,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,9,4300,Packed,ORD-SEP-0045,Murshid,12,4,0.95,5.6,3.2,10.53,32.93,1,2.14
2025-09-25,DC-1010,Zinc Picolinate 50mg Tablets,Health & Supplements,3,3800,Delivered,ORD-SEP-0046,Mr.Ilham,394,4,0.95,5.6,3.2,10.53,32.93,0,70.36
2025-09-24,DC-1011,Magnesium Glycinate 400mg,Health & Supplements,6,4400,Packed,ORD-SEP-0047,Mr.Ilham,12,3,0.95,5.0,2.94,8.38,23.38,1,2.4
2025-09-26,DC-1011,Magnesium Glycinate 400mg,Health & Supplements,1,4200,Packed,ORD-SEP-0048,Nazlin,268,3,0.95,5.0,2.94,8.38,23.38,0,53.6
2025-09-27,DC-1011,Magnesium Glycinate 400mg,Health & Supplements,8,4600,Packed,ORD-SEP-0049,Nazlin,260,3,0.95,5.0,2.94,8.38,23.38,0,52.0
2025-09-03,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,1,5100,Packed,ORD-SEP-0953,Nazlin,320,3,0.95,3.75,3.7,10.54,21.79,0,85.33
2025-09-10,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,1,5700,Shipped,ORD-SEP-0050,Hakeem,20,3,0.95,3.75,3.7,10.54,21.79,1,5.33
2025-09-24,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,3,5200,Packed,ORD-SEP-0051,Hakeem,9,3,0.95,3.75,3.7,10.54,21.79,1,2.4
2025-09-24,DC-1012,Vitamin D3 5000IU Capsules,Health & Supplements,10,5000,Packed,ORD-SEP-0052,Mr.Ilham,16,3,0.95,3.75,3.7,10.54,21.79,1,4.27
2025-09-16,DC-1013,Zinc Picolinate 50mg Tablets,Health & Supplements,5,4300,Packed,ORD-SEP-0053,Murshid,503,7,0.95,4.0,1.0,4.35,32.35,0,125.75
2025-09-25,DC-1013,Zinc Picolinate 50mg Tablets,Health & Supplements,3,5100,Packed,ORD-SEP-0054,Mr.Ilham,500,7,0.95,4.0,1.0,4.35,32.35,0,125.0
2025-09-03,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,8,9000,Shipped,ORD-SEP-0055,Mr.Ilham,10,3,0.95,6.0,1.91,5.44,23.44,1,1.67
2025-09-10,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,3,10100,Pending,ORD-SEP-0056,Hakeem,312,3,0.95,6.0,1.91,5.44,23.44,0,52.0
2025-09-11,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,6,9000,Shipped,ORD-SEP-0057,Hakeem,306,3,0.95,6.0,1.91,5.44,23.44,0,51.0
2025-09-14,DC-1014,Probiotic 50 Billion CFU Capsules,Health & Supplements,8,9000,Shipped,ORD-SEP-0058,Nazlin,298,3,0.95,6.0,1.91,5.44,23.44,0,49.67
